round,client_id,epoch,train_loss,val_loss,der,acc
13,3,2,17.187864303588867,,0.3678560151563072,0.4621421975992613
13,3,3,40.10555648803711,,0.3678560151563072,0.4621421975992613
13,3,4,30.646522521972656,,0.4164824755289004,0.46352723915050786
13,3,5,29.98932456970215,,0.43542784970003157,0.4390581717451524
14,3,1,1.891811490058899,,0.3603833865814697,0.6396166134185304
14,3,2,36.557621002197266,,0.3718849840255591,0.6281150159744409
14,3,3,62.40484619140625,,0.3603833865814697,0.6396166134185304
14,3,4,18.537931442260742,,0.34376996805111826,0.6562300319488817
14,3,5,435.79010009765625,,0.3603833865814696,0.6396166134185304
15,3,1,1.8761674165725708,,0.3902747079254814,0.4298245614035088
15,3,2,46.10917663574219,,0.3757499210609483,0.5106186518928901
15,3,3,16.91444969177246,,0.6138301231449323,0.10249307479224377
15,3,4,329.3577880859375,,0.3678560151563072,0.4621421975992613
